Game_Index,Date,Visitor,Game No V,Goals V,H_Status_V,Home,Game No H,Goals H,H_Status_H,Win Type,Att.,LoG,Result Visitor,Pts Visitor,Result Home,Pts Home
1,3/10/2018,Anaheim Ducks,1,5,0,San Jose Sharks,1,2,1,-,"17,562",2:25,1,2,0,0
2,3/10/2018,Montreal Canadiens,1,2,0,Toronto Maple Leafs,1,3,1,OT,"19,589",2:37,0,1,1,2
3,3/10/2018,Calgary Flames,1,2,0,Vancouver Canucks,1,5,1,-,"18,870",2:31,0,0,1,2
4,3/10/2018,Boston Bruins,1,0,0,Washington Capitals,1,7,1,-,"18,506",2:30,0,0,1,2
5,4/10/2018,Boston Bruins,2,4,0,Buffalo Sabres,1,0,1,-,"19,070",2:35,1,2,0,0
6,4/10/2018,New York Islanders,1,2,0,Carolina Hurricanes,1,1,1,OT,"18,680",2:34,1,2,0,1
7,4/10/2018,Minnesota Wild,1,1,0,Colorado Avalanche,1,4,1,-,"18,086",2:37,0,0,1,2
8,4/10/2018,Arizona Coyotes,1,0,0,Dallas Stars,1,3,1,-,"18,532",2:34,0,0,1,2
9,4/10/2018,Columbus Blue Jackets,1,3,0,Detroit Red Wings,1,2,1,OT,"19,515",2:43,1,2,0,1
10,4/10/2018,Nashville Predators,1,3,0,New York Rangers,1,2,1,-,"17,117",2:31,1,2,0,0
11,4/10/2018,Chicago Blackhawks,1,4,0,Ottawa Senators,1,3,1,OT,"15,858",2:38,1,2,0,1
12,4/10/2018,Washington Capitals,2,6,0,Pittsburgh Penguins,1,7,1,OT,"18,627",2:39,0,1,1,2
13,4/10/2018,Winnipeg Jets,1,5,0,St. Louis Blues,1,1,1,-,"18,292",2:35,1,2,0,0
14,4/10/2018,Philadelphia Flyers,1,5,0,Vegas Golden Knights,1,2,1,-,"18,555",2:24,1,2,0,0
15,5/10/2018,Carolina Hurricanes,2,3,0,Columbus Blue Jackets,2,1,1,-,"18,306",2:35,1,2,0,0
16,5/10/2018,San Jose Sharks,2,3,0,Los Angeles Kings,1,2,1,OT,"18,230",2:36,1,2,0,1
17,6/10/2018,Anaheim Ducks,2,1,0,Arizona Coyotes,2,0,1,-,"17,125",2:24,1,2,0,0
18,6/10/2018,New York Rangers,2,1,0,Buffalo Sabres,2,3,1,-,"16,824",2:45,0,0,1,2
19,6/10/2018,Vancouver Canucks,2,4,0,Calgary Flames,2,7,1,-,"18,688",2:39,0,0,1,2
20,6/10/2018,Philadelphia Flyers,2,2,0,Colorado Avalanche,2,5,1,-,"16,768",2:33,0,0,1,2
21,6/10/2018,Winnipeg Jets,2,1,0,Dallas Stars,2,5,1,-,"18,131",2:36,0,0,1,2
22,6/10/2018,Vegas Golden Knights,2,2,0,Minnesota Wild,2,1,1,SO,"19,077",3:18,1,2,0,1
23,6/10/2018,Edmonton Oilers,1,2,0,New Jersey Devils,1,5,1,-,"12,044",2:31,0,0,1,2
24,6/10/2018,Nashville Predators,2,4,0,New York Islanders,2,3,1,-,"12,163",2:25,1,2,0,0
25,6/10/2018,Montreal Canadiens,2,5,0,Pittsburgh Penguins,2,1,1,-,"18,622",2:26,1,2,0,0
26,6/10/2018,Chicago Blackhawks,2,5,0,St. Louis Blues,2,4,1,OT,"17,429",2:39,1,2,0,1
27,6/10/2018,Florida Panthers,1,1,0,Tampa Bay Lightning,1,2,1,SO,"19,092",2:39,0,1,1,2
28,6/10/2018,Ottawa Senators,2,5,0,Toronto Maple Leafs,2,3,1,-,"19,321",2:35,1,2,0,0
29,7/10/2018,New York Rangers,3,5,0,Carolina Hurricanes,3,8,1,-,"13,526",2:37,0,0,1,2
30,7/10/2018,Toronto Maple Leafs,3,7,0,Chicago Blackhawks,3,6,1,OT,"21,812",2:31,1,2,0,1
31,7/10/2018,Detroit Red Wings,2,2,0,Los Angeles Kings,2,4,1,-,"18,230",2:43,0,0,1,2
32,8/10/2018,Detroit Red Wings,3,2,0,Anaheim Ducks,3,3,1,SO,"17,436",2:44,0,1,1,2
33,8/10/2018,Ottawa Senators,3,3,0,Boston Bruins,3,6,1,-,"17,565",2:33,0,0,1,2
34,8/10/2018,Vegas Golden Knights,3,2,0,Buffalo Sabres,3,4,1,-,"16,004",2:20,0,0,1,2
35,8/10/2018,San Jose Sharks,3,0,0,New York Islanders,3,4,1,-,"8,790",2:26,0,0,1,2
36,9/10/2018,Vancouver Canucks,3,3,0,Carolina Hurricanes,4,5,1,-,"11,932",2:35,0,0,1,2
37,9/10/2018,Colorado Avalanche,3,2,0,Columbus Blue Jackets,3,5,1,-,"11,694",2:27,0,0,1,2
38,9/10/2018,Toronto Maple Leafs,4,7,0,Dallas Stars,3,4,1,-,"17,866",2:30,1,2,0,0
39,9/10/2018,Calgary Flames,3,3,0,Nashville Predators,3,0,1,-,"17,209",2:32,1,2,0,0
40,9/10/2018,San Jose Sharks,4,8,0,Philadelphia Flyers,3,2,1,-,"19,133",2:34,1,2,0,0
41,9/10/2018,Los Angeles Kings,3,1,0,Winnipeg Jets,3,2,1,-,"15,321",2:27,0,0,1,2
42,10/10/2018,Arizona Coyotes,3,3,0,Anaheim Ducks,4,2,1,SO,"17,015",2:30,1,2,0,1
43,10/10/2018,Philadelphia Flyers,4,7,0,Ottawa Senators,4,4,1,-,"13,215",2:38,1,2,0,0
44,10/10/2018,Vegas Golden Knights,4,2,0,Washington Capitals,3,5,1,-,"18,506",2:40,0,0,1,2
45,11/10/2018,Edmonton Oilers,2,1,0,Boston Bruins,4,4,1,-,"17,565",2:28,0,0,1,2
46,11/10/2018,Colorado Avalanche,4,6,0,Buffalo Sabres,4,1,1,-,"15,396",2:30,1,2,0,0
47,11/10/2018,Toronto Maple Leafs,5,5,0,Detroit Red Wings,4,3,1,-,"19,515",2:32,1,2,0,0
48,11/10/2018,Columbus Blue Jackets,4,5,0,Florida Panthers,2,4,1,-,"14,394",2:34,1,2,0,0
49,11/10/2018,Chicago Blackhawks,4,3,0,Minnesota Wild,3,4,1,OT,"18,652",2:42,0,1,1,2
50,11/10/2018,Los Angeles Kings,4,3,0,Montreal Canadiens,3,0,1,-,"21,302",2:33,1,2,0,0
51,11/10/2018,Washington Capitals,4,0,0,New Jersey Devils,2,6,1,-,"16,514",2:31,0,0,1,2
52,11/10/2018,Winnipeg Jets,4,0,0,Nashville Predators,4,3,1,-,"17,228",2:30,0,0,1,2
53,11/10/2018,San Jose Sharks,5,2,0,New York Rangers,4,3,1,OT,"17,004",2:31,0,1,1,2
54,11/10/2018,Vegas Golden Knights,5,2,0,Pittsburgh Penguins,3,4,1,-,"18,610",2:27,0,0,1,2
55,11/10/2018,Calgary Flames,4,3,0,St. Louis Blues,3,5,1,-,"16,403",2:37,0,0,1,2
56,11/10/2018,Vancouver Canucks,4,4,0,Tampa Bay Lightning,2,1,1,-,"19,092",2:23,1,2,0,0
57,13/10/2018,Buffalo Sabres,5,3,0,Arizona Coyotes,4,0,1,-,"15,304",2:32,1,2,0,0
58,13/10/2018,Detroit Red Wings,5,2,0,Boston Bruins,5,8,1,-,"17,565",2:40,0,0,1,2
59,13/10/2018,St. Louis Blues,4,3,0,Chicago Blackhawks,5,4,1,OT,"21,634",2:38,0,1,1,2
60,13/10/2018,Calgary Flames,5,3,0,Colorado Avalanche,5,2,1,OT,"17,334",2:34,1,2,0,1
61,13/10/2018,Anaheim Ducks,5,3,0,Dallas Stars,4,5,1,-,"18,532",2:38,0,0,1,2
62,13/10/2018,Vancouver Canucks,5,3,0,Florida Panthers,3,2,1,-,"11,953",2:32,1,2,0,0
63,13/10/2018,Carolina Hurricanes,5,5,0,Minnesota Wild,4,4,1,OT,"18,715",2:56,1,2,0,1
64,13/10/2018,Pittsburgh Penguins,4,3,0,Montreal Canadiens,4,4,1,SO,"21,302",3:23,0,1,1,2
65,13/10/2018,New York Islanders,4,2,0,Nashville Predators,5,5,1,-,"17,208",2:34,0,0,1,2
66,13/10/2018,Edmonton Oilers,3,2,0,New York Rangers,5,1,1,-,"17,085",2:24,1,2,0,0
67,13/10/2018,Los Angeles Kings,5,1,0,Ottawa Senators,5,5,1,-,"15,355",2:29,0,0,1,2
68,13/10/2018,Vegas Golden Knights,6,1,0,Philadelphia Flyers,5,0,1,-,"19,067",2:19,1,2,0,0
69,13/10/2018,Columbus Blue Jackets,5,2,0,Tampa Bay Lightning,3,8,1,-,"19,092",2:36,0,0,1,2
70,13/10/2018,Toronto Maple Leafs,6,4,0,Washington Capitals,5,2,1,-,"18,506",2:21,1,2,0,0
71,14/10/2018,San Jose Sharks,6,2,0,New Jersey Devils,3,3,1,-,"13,809",2:35,0,0,1,2
72,14/10/2018,Anaheim Ducks,6,3,0,St. Louis Blues,5,2,1,-,"16,562",2:36,1,2,0,0
73,14/10/2018,Carolina Hurricanes,6,1,0,Winnipeg Jets,5,3,1,-,"15,321",2:33,0,0,1,2
74,15/10/2018,Detroit Red Wings,6,3,0,Montreal Canadiens,5,7,1,-,"20,323",2:40,0,0,1,2
75,15/10/2018,Minnesota Wild,5,2,0,Nashville Predators,6,4,1,-,"17,165",2:32,0,0,1,2
76,15/10/2018,Dallas Stars,5,1,0,Ottawa Senators,6,4,1,-,"12,358",2:30,0,0,1,2
77,15/10/2018,Los Angeles Kings,6,1,0,Toronto Maple Leafs,7,4,1,-,"19,429",2:25,0,0,1,2
78,16/10/2018,Arizona Coyotes,5,1,0,Minnesota Wild,6,2,1,-,"18,795",2:35,0,0,1,2
79,16/10/2018,Dallas Stars,6,0,0,New Jersey Devils,4,3,1,-,"12,808",2:33,0,0,1,2
80,16/10/2018,Colorado Avalanche,6,2,0,New York Rangers,6,3,1,SO,"17,251",2:43,0,1,1,2
81,16/10/2018,Florida Panthers,4,5,0,Philadelphia Flyers,6,6,1,SO,"19,038",2:48,0,1,1,2
82,16/10/2018,Vancouver Canucks,6,3,0,Pittsburgh Penguins,5,2,1,OT,"18,492",2:24,1,2,0,1
83,16/10/2018,Carolina Hurricanes,7,2,0,Tampa Bay Lightning,4,4,1,-,"19,092",2:37,0,0,1,2
84,16/10/2018,Buffalo Sabres,6,1,0,Vegas Golden Knights,7,4,1,-,"18,321",2:38,0,0,1,2
85,16/10/2018,Edmonton Oilers,4,5,0,Winnipeg Jets,6,4,1,OT,"15,321",2:29,1,2,0,1
86,17/10/2018,New York Islanders,5,1,0,Anaheim Ducks,7,4,1,-,"16,909",2:30,0,0,1,2
87,17/10/2018,Boston Bruins,6,2,0,Calgary Flames,6,5,1,-,"17,641",2:25,0,0,1,2
88,17/10/2018,St. Louis Blues,6,2,0,Montreal Canadiens,6,3,1,-,"20,137",2:22,0,0,1,2
89,17/10/2018,New York Rangers,7,3,0,Washington Capitals,6,4,1,OT,"18,506",2:34,0,1,1,2
90,18/10/2018,Philadelphia Flyers,7,3,0,Columbus Blue Jackets,6,6,1,-,"13,492",2:20,0,0,1,2
91,18/10/2018,Arizona Coyotes,6,4,0,Chicago Blackhawks,6,1,1,-,"21,210",2:31,1,2,0,0
92,18/10/2018,Boston Bruins,7,2,0,Edmonton Oilers,5,3,1,OT,"18,347",2:26,0,1,1,2
93,18/10/2018,New York Islanders,6,7,0,Los Angeles Kings,7,2,1,-,"18,230",2:34,1,2,0,0
94,18/10/2018,Colorado Avalanche,7,5,0,New Jersey Devils,5,3,1,-,"13,374",2:41,1,2,0,0
95,18/10/2018,Buffalo Sabres,7,1,0,San Jose Sharks,7,5,1,-,"17,389",2:33,0,0,1,2
96,18/10/2018,Detroit Red Wings,7,1,0,Tampa Bay Lightning,5,3,1,-,"19,092",2:43,0,0,1,2
97,18/10/2018,Pittsburgh Penguins,6,3,0,Toronto Maple Leafs,8,0,1,-,"19,483",2:28,1,2,0,0
98,18/10/2018,Vancouver Canucks,7,1,0,Winnipeg Jets,7,4,1,-,"15,321",2:32,0,0,1,2
99,19/10/2018,Nashville Predators,7,5,0,Calgary Flames,7,3,1,-,"18,725",2:36,1,2,0,0
100,19/10/2018,Minnesota Wild,7,3,0,Dallas Stars,7,1,1,-,"18,346",2:18,1,2,0,0
101,19/10/2018,Florida Panthers,5,6,0,Washington Capitals,7,5,1,SO,"18,506",2:56,1,2,0,1
102,20/10/2018,Colorado Avalanche,8,3,0,Carolina Hurricanes,8,1,1,-,"11,753",2:30,1,2,0,0
103,20/10/2018,Chicago Blackhawks,7,4,0,Columbus Blue Jackets,7,1,1,-,"17,005",2:29,1,2,0,0
104,20/10/2018,Nashville Predators,8,3,0,Edmonton Oilers,6,0,1,-,"18,347",2:29,1,2,0,0
105,20/10/2018,Detroit Red Wings,8,4,0,Florida Panthers,6,3,1,OT,"14,534",2:44,1,2,0,1
