,,,,,,,,,,,,,,,,,,,,,,,482.3255,0.5987,,,,"1,500.00"
Game_Index,Date,Team A,Team B,Game_No_A,Game_No_B,H_Status_A,H_Status_B,Goals_A,Goals_B,Win_Type,Att,LoG,Result_A,Result_B,Ladder_Pts_A,Ladder_Pts_B,Smoothed Result A,Rating A,Rating B,Actual,Expected,Diff,Sq Diff,Correct,,,Team A,Rating
1,3/10/2018,Anaheim Ducks,San Jose Sharks,1,1,0,1,5,2,-,17562,2:25:00,1,0,2,0,0.9936,"1,443.15","1,534.08",0.9936,0.3721,0.6215,0.3863,0,,,Anaheim Ducks,"1,443.15"
1,3/10/2018,San Jose Sharks,Anaheim Ducks,1,1,1,0,2,5,-,17562,2:25:00,0,1,0,2,0.0064,"1,534.08","1,443.15",0.0064,0.6279,-0.6215,0.3863,0,,,Arizona Coyotes,"1,474.89"
2,3/10/2018,Montreal Canadiens,Toronto Maple Leafs,1,1,0,1,2,3,OT,19589,2:37:00,0,1,1,2,0.0971,"1,522.17","1,538.89",0.0971,0.4760,-0.3789,0.1435,1,,,Boston Bruins,"1,569.08"
2,3/10/2018,Toronto Maple Leafs,Montreal Canadiens,1,1,1,0,3,2,OT,19589,2:37:00,1,0,2,1,0.9029,"1,538.89","1,522.17",0.9029,0.5240,0.3789,0.1435,1,,,Buffalo Sabres,"1,434.27"
3,3/10/2018,Calgary Flames,Vancouver Canucks,1,1,0,1,2,5,-,18870,2:31:00,0,1,0,2,0.0064,"1,565.89","1,448.16",0.0064,0.6632,-0.6568,0.4314,0,,,Calgary Flames,"1,565.89"
3,3/10/2018,Vancouver Canucks,Calgary Flames,1,1,1,0,5,2,-,18870,2:31:00,1,0,2,0,0.9936,"1,448.16","1,565.89",0.9936,0.3368,0.6568,0.4314,0,,,Carolina Hurricanes,"1,535.26"
4,3/10/2018,Boston Bruins,Washington Capitals,1,1,0,1,0,7,-,18506,2:30:00,0,1,0,2,0.0000,"1,569.08","1,552.63",0.0000,0.5237,-0.5237,0.2742,0,,,Chicago Blackhawks,"1,461.05"
4,3/10/2018,Washington Capitals,Boston Bruins,1,1,1,0,7,0,-,18506,2:30:00,1,0,2,0,1.0000,"1,552.63","1,569.08",1.0000,0.4763,0.5237,0.2742,0,,,Colorado Avalanche,"1,488.89"
5,4/10/2018,Boston Bruins,Buffalo Sabres,2,1,0,1,4,0,-,19070,2:35:00,1,0,2,0,1.0000,"1,569.08","1,434.27",1.0000,0.6848,0.3152,0.0993,1,,,Columbus Blue Jackets,"1,542.45"
5,4/10/2018,Buffalo Sabres,Boston Bruins,1,2,1,0,0,4,-,19070,2:35:00,0,1,0,2,0.0000,"1,434.27","1,569.08",0.0000,0.3152,-0.3152,0.0993,1,,,Dallas Stars,"1,513.26"
6,4/10/2018,New York Islanders,Carolina Hurricanes,1,1,0,1,2,1,OT,18680,2:34:00,1,0,2,1,0.9784,"1,549.74","1,535.26",0.9784,0.5208,0.4575,0.2093,1,,,Detroit Red Wings,"1,433.41"
6,4/10/2018,Carolina Hurricanes,New York Islanders,1,1,1,0,1,2,OT,18680,2:34:00,0,1,1,2,0.0216,"1,535.26","1,549.74",0.0216,0.4792,-0.4575,0.2093,1,,,Edmonton Oilers,"1,451.41"
7,4/10/2018,Minnesota Wild,Colorado Avalanche,1,1,0,1,1,4,-,18086,2:37:00,0,1,0,2,0.0005,"1,467.06","1,488.89",0.0005,0.4686,-0.4681,0.2192,1,,,Florida Panthers,"1,478.27"
7,4/10/2018,Colorado Avalanche,Minnesota Wild,1,1,1,0,4,1,-,18086,2:37:00,1,0,2,0,0.9995,"1,488.89","1,467.06",0.9995,0.5314,0.4681,0.2192,1,,,Los Angeles Kings,"1,420.59"
8,4/10/2018,Arizona Coyotes,Dallas Stars,1,1,0,1,0,3,-,18532,2:34:00,0,1,0,2,0.0000,"1,474.89","1,513.26",0.0000,0.4450,-0.4450,0.1980,1,,,Minnesota Wild,"1,467.06"
8,4/10/2018,Dallas Stars,Arizona Coyotes,1,1,1,0,3,0,-,18532,2:34:00,1,0,2,0,1.0000,"1,513.26","1,474.89",1.0000,0.5550,0.4450,0.1980,1,,,Montreal Canadiens,"1,522.17"
9,4/10/2018,Columbus Blue Jackets,Detroit Red Wings,1,1,0,1,3,2,OT,19515,2:43:00,1,0,2,1,0.9029,"1,542.45","1,433.41",0.9029,0.6520,0.2510,0.0630,1,,,Nashville Predators,"1,548.34"
9,4/10/2018,Detroit Red Wings,Columbus Blue Jackets,1,1,1,0,2,3,OT,19515,2:43:00,0,1,1,2,0.0971,"1,433.41","1,542.45",0.0971,0.3480,-0.2510,0.0630,1,,,New Jersey Devils,"1,428.84"
10,4/10/2018,Nashville Predators,New York Rangers,1,1,0,1,3,2,-,17117,2:31:00,1,0,2,0,0.9029,"1,548.34","1,438.36",0.9029,0.6532,0.2497,0.0624,1,,,New York Islanders,"1,549.74"
