Game_Index,Date,Visitor,Game_No_V,Goals_V,H_Status_V,Home,Game_No_H,Goals_H,H_Status_H,Win_Type,Att,Lo_G,Result_Visitor,Pts_Visitor,Result_Home,Pts_Home
1,3/10/2018,Anaheim Ducks,1,5,0,San Jose Sharks,1,2,1,-,17562,02:25:00,1,2,0,0
1,3/10/2018,San Jose Sharks,1,2,1,Anaheim Ducks,1,5,0,-,17562,02:25:00,0,0,1,2
2,3/10/2018,Montreal Canadiens,1,2,0,Toronto Maple Leafs,1,3,1,OT,19589,02:37:00,0,1,1,2
2,3/10/2018,Toronto Maple Leafs,1,3,1,Montreal Canadiens,1,2,0,OT,19589,02:37:00,1,2,0,1
3,3/10/2018,Calgary Flames,1,2,0,Vancouver Canucks,1,5,1,-,18870,02:31:00,0,0,1,2
3,3/10/2018,Vancouver Canucks,1,5,1,Calgary Flames,1,2,0,-,18870,02:31:00,1,2,0,0
4,3/10/2018,Boston Bruins,1,0,0,Washington Capitals,1,7,1,-,18506,02:30:00,0,0,1,2
4,3/10/2018,Washington Capitals,1,7,1,Boston Bruins,1,0,0,-,18506,02:30:00,1,2,0,0
5,4/10/2018,Boston Bruins,2,4,0,Buffalo Sabres,1,0,1,-,19070,02:35:00,1,2,0,0
5,4/10/2018,Buffalo Sabres,1,0,1,Boston Bruins,2,4,0,-,19070,02:35:00,0,0,1,2
6,4/10/2018,New York Islanders,1,2,0,Carolina Hurricanes,1,1,1,OT,18680,02:34:00,1,2,0,1
6,4/10/2018,Carolina Hurricanes,1,1,1,New York Islanders,1,2,0,OT,18680,02:34:00,0,1,1,2
7,4/10/2018,Minnesota Wild,1,1,0,Colorado Avalanche,1,4,1,-,18086,02:37:00,0,0,1,2
7,4/10/2018,Colorado Avalanche,1,4,1,Minnesota Wild,1,1,0,-,18086,02:37:00,1,2,0,0
8,4/10/2018,Arizona Coyotes,1,0,0,Dallas Stars,1,3,1,-,18532,02:34:00,0,0,1,2
